Z, A, Symbol, mass, mass_unc, estimated_flag
  1,   1, H ,   1.0078250322, 9.000000e-11,  
  1,   2, H ,   2.0141017781, 1.200000e-10,  
  1,   3, H ,   3.0160492820, 2.300000e-10,  
  2,   3, He,   3.0160293226, 2.200000e-10,  
  3,   3, Li,   3.0307750000, 2.147000e-03, #
  1,   4, H ,   4.0264318680, 1.073540e-04,  
  2,   4, He,   4.0026032541, 6.000000e-11,  
  3,   4, Li,   4.0271855620, 2.277330e-04,  
  1,   5, H ,   5.0353114930, 9.602000e-05,  
  2,   5, He,   5.0120572240, 2.147000e-05,  
  3,   5, Li,   5.0125378000, 5.367700e-05,  
  4,   5, Be,   5.0398700000, 2.150000e-03, #
  1,   6, H ,   6.0449554370, 2.728160e-04,  
  2,   6, He,   6.0188858910, 5.700000e-08,  
  3,   6, Li,   6.0151228874, 1.550000e-09,  
  4,   6, Be,   6.0197264090, 5.848000e-06,  
  5,   6, B ,   6.0508000000, 2.150000e-03, #
  1,   7, H ,   7.0527490000, 1.078000e-03, #
  2,   7, He,   7.0279906540, 8.115000e-06,  
  3,   7, Li,   7.0160034367, 4.540000e-09,  
  4,   7, Be,   7.0169287170, 7.600000e-08,  
  5,   7, B ,   7.0297120000, 2.700000e-05,  
  2,   8, He,   8.0339343900, 9.500000e-08,  
  3,   8, Li,   8.0224862460, 5.000000e-08,  
  4,   8, Be,   8.0053051020, 3.700000e-08,  
  5,   8, B ,   8.0246073160, 1.073000e-06,  
  6,   8, C ,   8.0376430420, 1.958400e-05,  
  2,   9, He,   9.0439464190, 5.025900e-05,  
  3,   9, Li,   9.0267901910, 2.000000e-07,  
  4,   9, Be,   9.0121830660, 8.200000e-08,  
  5,   9, B ,   9.0133296490, 9.690000e-07,  
  6,   9, C ,   9.0310372070, 2.293000e-06,  
  2,  10, He,  10.0528153080, 9.967600e-05,  
  3,  10, Li,  10.0354834530, 1.365600e-05,  
  4,  10, Be,  10.0135346950, 8.600000e-08,  
  5,  10, B ,  10.0129368620, 1.600000e-08,  
  6,  10, C ,  10.0168532180, 7.500000e-08,  
  7,  10, N ,  10.0416535430, 4.294170e-04,  
  3,  11, Li,  11.0437235810, 6.600000e-07,  
  4,  11, Be,  11.0216610810, 2.550000e-07,  
  5,  11, B ,  11.0093051660, 1.300000e-08,  
  6,  11, C ,  11.0114325970, 6.400000e-08,  
  7,  11, N ,  11.0260909450, 4.954800e-05,  
  3,  12, Li,  12.0526139410, 3.221300e-05,  
  4,  12, Be,  12.0269220830, 2.048000e-06,  
  5,  12, B ,  12.0143526380, 1.418000e-06,  
  6,  12, C ,  12.0000000000, 0.000000e+00,  
